,slug,asset,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
878,bitcoin,BTC,Bitcoin,28-04-2013,1,101.47500000000001,101.98499999999999,99.07499999999999,100.6575,0,1500520000.0,0.5438,3.88
879,bitcoin,BTC,Bitcoin,29-04-2013,1,100.83,110.6175,100.5,108.405,0,1491160000.0,0.7813,13.49
880,bitcoin,BTC,Bitcoin,30-04-2013,1,108.0,110.1975,100.53750000000001,104.25,0,1597780000.0,0.3843,12.88
881,bitcoin,BTC,Bitcoin,01-05-2013,1,104.25,104.91749999999999,80.78999999999999,87.74249999999999,0,1542820000.0,0.2882,32.17
882,bitcoin,BTC,Bitcoin,02-05-2013,1,87.285,94.19999999999999,69.21000000000001,78.9075,0,1292190000.0,0.3881,33.32
883,bitcoin,BTC,Bitcoin,03-05-2013,1,79.6875,81.0975,59.324999999999996,73.3125,0,1180070000.0,0.6424,29.03
884,bitcoin,BTC,Bitcoin,04-05-2013,1,73.57499999999999,86.25,69.375,84.375,0,1089890000.0,0.8889,22.5
885,bitcoin,BTC,Bitcoin,05-05-2013,1,84.67500000000001,89.1,80.355,86.9325,0,1254760000.0,0.7521,11.66
886,bitcoin,BTC,Bitcoin,06-05-2013,1,86.985,93.495,79.98,84.225,0,1289470000.0,0.3141,18.02
887,bitcoin,BTC,Bitcoin,07-05-2013,1,84.1875,85.08,73.275,83.625,0,1248470000.0,0.8767,15.74
888,bitcoin,BTC,Bitcoin,08-05-2013,1,82.19999999999999,86.83500000000001,82.19999999999999,85.1775,0,1219450000.0,0.6424,6.18
889,bitcoin,BTC,Bitcoin,09-05-2013,1,84.9,85.095,81.94500000000001,84.5025,0,1259980000.0,0.8119,4.2
890,bitcoin,BTC,Bitcoin,10-05-2013,1,84.6,91.5,83.6625,87.9,0,1255970000.0,0.5407,10.45
891,bitcoin,BTC,Bitcoin,11-05-2013,1,88.275,89.01,84.75750000000001,86.42999999999999,0,1311050000.0,0.3933,5.67
892,bitcoin,BTC,Bitcoin,12-05-2013,1,86.73,88.0875,85.08,86.25,0,1288630000.0,0.389,4.01
893,bitcoin,BTC,Bitcoin,13-05-2013,1,86.115,89.025,85.875,88.485,0,1279980000.0,0.8286,4.2
894,bitcoin,BTC,Bitcoin,14-05-2013,1,88.485,89.85,82.6875,83.625,0,1315720000.0,0.1309,9.55
895,bitcoin,BTC,Bitcoin,15-05-2013,1,83.55000000000001,86.8575,77.625,85.66499999999999,0,1242760000.0,0.8708,12.31
896,bitcoin,BTC,Bitcoin,16-05-2013,1,85.66499999999999,89.07000000000001,84.15,89.07000000000001,0,1274620000.0,1.0,6.56
897,bitcoin,BTC,Bitcoin,17-05-2013,1,88.6575,93.975,87.4275,92.265,0,1319590000.0,0.7388,8.73
898,bitcoin,BTC,Bitcoin,18-05-2013,1,92.625,93.9375,91.725,92.625,0,1379140000.0,0.4068,2.95
899,bitcoin,BTC,Bitcoin,19-05-2013,1,92.4075,93.375,89.6775,91.49249999999999,0,1376370000.0,0.4909,4.93
900,bitcoin,BTC,Bitcoin,20-05-2013,1,91.875,92.715,90.09,91.5,0,1368910000.0,0.5371,3.5
901,bitcoin,BTC,Bitcoin,21-05-2013,1,91.515,92.25,90.9075,92.16,0,1363940000.0,0.933,1.79
902,bitcoin,BTC,Bitcoin,22-05-2013,1,92.1675,93.0,91.5,92.9175,0,1374130000.0,0.945,2.0
903,bitcoin,BTC,Bitcoin,23-05-2013,1,92.85,95.1975,92.32499999999999,95.025,0,1384780000.0,0.9399,3.83
904,bitcoin,BTC,Bitcoin,24-05-2013,1,94.725,100.38749999999999,94.28999999999999,99.89999999999999,0,1413300000.0,0.92,8.13
905,bitcoin,BTC,Bitcoin,25-05-2013,1,99.82499999999999,99.91499999999999,96.67500000000001,98.98499999999999,0,1489950000.0,0.713,4.32
906,bitcoin,BTC,Bitcoin,26-05-2013,1,98.9925,102.0,97.965,100.10999999999999,0,1478030000.0,0.5316,5.38
907,bitcoin,BTC,Bitcoin,27-05-2013,1,100.125,101.60249999999999,93.525,97.3125,0,1495520000.0,0.4689,10.77
908,bitcoin,BTC,Bitcoin,28-05-2013,1,97.32750000000001,97.935,94.19999999999999,96.75,0,1454310000.0,0.6827,4.98
909,bitcoin,BTC,Bitcoin,29-05-2013,1,96.75,99.4425,95.745,99.22500000000001,0,1446190000.0,0.9412,4.93
910,bitcoin,BTC,Bitcoin,30-05-2013,1,99.1875,99.1875,95.25,96.60000000000001,0,1483180000.0,0.3429,5.25
911,bitcoin,BTC,Bitcoin,31-05-2013,1,96.60000000000001,97.42500000000001,94.80000000000001,96.75,0,1445050000.0,0.7429,3.5
912,bitcoin,BTC,Bitcoin,01-06-2013,1,96.6075,97.33500000000001,95.4,96.97500000000001,0,1445800000.0,0.814,2.58
913,bitcoin,BTC,Bitcoin,02-06-2013,1,96.97500000000001,97.05000000000001,86.2875,91.7175,0,1451930000.0,0.5045,14.35
914,bitcoin,BTC,Bitcoin,03-06-2013,1,91.875,91.875,87.0,91.66499999999999,0,1376180000.0,0.9569,6.5
915,bitcoin,BTC,Bitcoin,04-06-2013,1,90.55499999999999,92.88,89.32499999999999,91.065,0,1357020000.0,0.4895,4.74
916,bitcoin,BTC,Bitcoin,05-06-2013,1,91.05000000000001,92.60249999999999,89.92500000000001,91.23750000000001,0,1365110000.0,0.4902,3.57
917,bitcoin,BTC,Bitcoin,06-06-2013,1,91.42500000000001,92.32499999999999,87.9375,88.5,0,1371300000.0,0.1282,5.85
918,bitcoin,BTC,Bitcoin,07-06-2013,1,89.22749999999999,89.25,79.815,83.625,0,1338880000.0,0.4038,12.58
